doc_id,rank,keyword,tfidf_score
DOC0031,10,displaystyl,0.168246
DOC0032,1,inform,0.332761
DOC0032,2,patent,0.294273
DOC0032,3,retriev,0.293089
DOC0032,4,facil,0.244066
DOC0032,5,articl,0.233719
DOC0032,6,remov,0.157508
DOC0032,7,edit,0.147297
DOC0032,8,investig,0.139581
DOC0032,9,promot,0.135015
DOC0032,10,vienna,0.134341
DOC0033,1,help,0.322448
DOC0033,2,wikipedia,0.266241
DOC0033,3,page,0.259636
DOC0033,4,markup,0.241527
DOC0033,5,nowiki,0.235874
DOC0033,6,articl,0.225105
DOC0033,7,wiki,0.194905
DOC0033,8,tip,0.15358
DOC0033,9,desk,0.144916
DOC0033,10,edit,0.132411
DOC0034,1,inform,0.614781
DOC0034,2,behavior,0.431215
DOC0034,3,seek,0.341728
DOC0034,4,model,0.142647
DOC0034,5,research,0.118162
DOC0034,6,kuhlthau,0.107996
DOC0034,7,wilson,0.090844
DOC0034,8,approach,0.090437
DOC0034,9,scienc,0.087935
DOC0034,10,theori,0.082215
DOC0035,1,grate,0.562286
DOC0035,2,dead,0.522684
DOC0035,3,band,0.292761
DOC0035,4,garcia,0.170461
DOC0035,5,weir,0.129446
DOC0035,6,concert,0.129386
DOC0035,7,tour,0.109007
DOC0035,8,lesh,0.106736
DOC0035,9,album,0.102194
DOC0035,10,music,0.094124
DOC0036,1,pressur,0.243085
DOC0036,2,arxivlab,0.234381
DOC0036,3,stagger,0.21196
DOC0036,4,navier,0.21196
DOC0036,5,arxiv,0.209405
DOC0036,6,math,0.208359
DOC0036,7,toggl,0.192443
DOC0036,8,veloc,0.187505
DOC0036,9,paper,0.1851
DOC0036,10,stoke,0.183714
DOC0037,1,music,0.812779
DOC0037,2,mir,0.202968
DOC0037,3,audio,0.161541
DOC0037,4,retriev,0.109554
DOC0037,5,edit,0.106127
DOC0037,6,recognit,0.104591
DOC0037,7,inform,0.102751
DOC0037,8,instrument,0.096336
DOC0037,9,transcript,0.084399
DOC0037,10,applic,0.081074
DOC0038,1,wmf,0.607211
DOC0038,2,mediawiki,0.435355
DOC0038,3,parsoid,0.348705
DOC0038,4,php,0.202404
DOC0038,5,project,0.163998
DOC0038,6,api,0.161243
DOC0038,7,visualeditor,0.139461
DOC0038,8,wikitext,0.125298
DOC0038,9,html,0.110262
DOC0038,10,test,0.106767
DOC0039,1,jacquard,0.665246
DOC0039,2,loom,0.382516
DOC0039,3,weav,0.275096
DOC0039,4,card,0.19598
DOC0039,5,machin,0.184169
DOC0039,6,textil,0.143912
DOC0039,7,warp,0.134318
DOC0039,8,punch,0.133607
